Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
AtessaAtessa (CH),Buona,13,--,--,0.29,--,--,--,0.4,--,2022-12-17
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-12-17
Cepagatti ASLCepagatti (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-17
FrancavillaFrancavilla al mare (CH),Buona,7,4,38,--,--,70,64,0.2,--,2022-12-17
GammaranaTeramo (TE),n.d.,--,n.d.,n.d.,--,--,--,--,--,--,2022-12-17
MontesilvanoMontesilvano (PE),Accettabile,12,7,41,0.98,--,--,--,0.4,--,2022-12-17
Ortona Villa CaldariOrtona (CH),Accettabile,8,6,24,0.16,--,83,73,0.4,--,2022-12-17
Porta RealeTeramo (TE),n.d.,n.d.,--,n.d.,n.d.,--,--,--,n.d.,--,2022-12-17
S. GregorioS. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-17
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,94,89,0.4,390.4,2022-12-17
Scuola AntonelliChieti Scalo (CH),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2022-12-17
T. D'AnnunzioPescara (PE),Buona,9,3,37,0.45,0,73,69,0.2,--,2022-12-17
Via AmiternumL'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2022-12-17
Via FirenzePescara (PE),n.d.,n.d.,n.d.,n.d.,n.d.,--,--,--,n.d.,--,2022-12-17
Via SaccoPescara (PE),Buona,11,--,31,--,--,73,68,--,--,2022-12-17
ArischiaL'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-16
AtessaAtessa (CH),Buona,15,--,--,0.45,--,--,--,0.9,--,2022-12-16
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-12-16
Cepagatti ASLCepagatti (PE),Buona,--,--,20,--,--,61,22,0.8,--,2022-12-16
FrancavillaFrancavilla al mare (CH),Accettabile,18,13,29,--,--,21,11,1.1,--,2022-12-16
GammaranaTeramo (TE),Accettabile,--,19,31,--,--,--,--,--,--,2022-12-16
MontesilvanoMontesilvano (PE),Scadente,38,26,32,1.06,--,--,--,1.9,--,2022-12-16
Ortona Villa CaldariOrtona (CH),Accettabile,15,11,21,0.26,--,50,42,0.9,--,2022-12-16
Porta RealeTeramo (TE),Accettabile,25,--,49,1.06,--,--,--,1.6,--,2022-12-16
S. GregorioS. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-16
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,86,79,0.4,392.6,2022-12-16
Scuola AntonelliChieti Scalo (CH),Scadente,34,30,38,--,2,47,13,1.5,--,2022-12-16
T. D'AnnunzioPescara (PE),Accettabile,25,18,40,0.71,0,54,17,1.5,--,2022-12-16
Via AmiternumL'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2022-12-16
Via FirenzePescara (PE),Mediocre,29,21,43,1.11,--,--,--,n.d.,--,2022-12-16
Via SaccoPescara (PE),Mediocre,37,--,41,--,--,43,18,--,--,2022-12-16
ArischiaL'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-15
AtessaAtessa (CH),Accettabile,22,--,--,0.46,--,--,--,1.1,--,2022-12-15
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-12-15
Cepagatti ASLCepagatti (PE),Buona,--,--,21,--,--,21,17,0.8,--,2022-12-15
FrancavillaFrancavilla al mare (CH),Accettabile,19,18,34,--,--,19,18,n.d.,--,2022-12-15
GammaranaTeramo (TE),Mediocre,--,24,32,--,--,--,--,--,--,2022-12-15
MontesilvanoMontesilvano (PE),Accettabile,23,18,35,0.91,--,--,--,1.4,--,2022-12-15
Ortona Villa CaldariOrtona (CH),Accettabile,15,15,16,0.34,--,38,35,1.3,--,2022-12-15
Porta RealeTeramo (TE),Accettabile,30,--,53,1.11,--,--,--,2.0,--,2022-12-15
S. GregorioS. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-15
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,82,71,n.d.,402.7,2022-12-15
Scuola AntonelliChieti Scalo (CH),Scadente,28,27,42,--,1,22,13,1.2,--,2022-12-15
T. D'AnnunzioPescara (PE),Mediocre,26,23,45,0.72,0,7,3,1.6,--,2022-12-15
Via AmiternumL'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2022-12-15
Via FirenzePescara (PE),Mediocre,29,24,36,0.91,--,--,--,n.d.,--,2022-12-15
Via SaccoPescara (PE),Buona,20,--,38,--,--,15,10,--,--,2022-12-15
ArischiaL'Aquila (AQ),Buona,--,--,13,--,--,26,24,0.8,--,2022-12-14
AtessaAtessa (CH),Accettabile,25,--,--,0.43,--,--,--,0.8,--,2022-12-14
Castel Di SangroCastel Di Sangro (AQ),Buona,11,10,23,0.45,--,33,29,--,--,2022-12-14
Cepagatti ASLCepagatti (PE),Buona,--,--,11,--,--,40,30,0.6,--,2022-12-14
FrancavillaFrancavilla al mare (CH),Accettabile,18,15,38,--,--,31,22,1.8,--,2022-12-14
GammaranaTeramo (TE),Accettabile,--,19,35,--,--,--,--,--,--,2022-12-14
MontesilvanoMontesilvano (PE),Accettabile,22,19,42,0.95,--,--,--,1.4,--,2022-12-14
Ortona Villa CaldariOrtona (CH),Accettabile,17,14,26,n.d.,--,53,47,1.1,--,2022-12-14
Porta RealeTeramo (TE),Accettabile,25,--,54,0.97,--,--,--,1.5,--,2022-12-14
S. GregorioS. GREGORIO (AQ),Buona,--,--,31,--,--,22,19,1.5,--,2022-12-14
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Buona,--,--,2,--,--,76,65,n.d.,400.1,2022-12-14
Scuola AntonelliChieti Scalo (CH),Scadente,27,26,36,--,0,41,24,0.9,--,2022-12-14
T. D'AnnunzioPescara (PE),Mediocre,26,22,47,0.74,0,9,5,1.5,--,2022-12-14
Via AmiternumL'Aquila (AQ),Accettabile,17,15,57,--,3,39,29,1.1,--,2022-12-14
Via FirenzePescara (PE),Mediocre,27,23,47,0.86,--,--,--,1.4,--,2022-12-14
Via SaccoPescara (PE),Accettabile,27,--,44,--,--,29,18,--,--,2022-12-14
ArischiaL'Aquila (AQ),Buona,--,--,4,--,--,51,37,0.3,--,2022-12-13
AtessaAtessa (CH),Buona,14,--,--,0.43,--,--,--,0.9,--,2022-12-13
Castel Di SangroCastel Di Sangro (AQ),Accettabile,14,11,31,0.40,--,50,61,--,--,2022-12-13
Cepagatti ASLCepagatti (PE),Buona,--,--,17,--,--,53,44,0.6,--,2022-12-13
FrancavillaFrancavilla al mare (CH),Accettabile,15,12,35,--,--,51,44,1.1,--,2022-12-13
GammaranaTeramo (TE),Accettabile,--,17,35,--,--,--,--,--,--,2022-12-13
MontesilvanoMontesilvano (PE),Accettabile,24,16,46,0.93,--,--,--,1.4,--,2022-12-13
Ortona Villa CaldariOrtona (CH),Accettabile,13,11,30,n.d.,--,57,57,1.0,--,2022-12-13
Porta RealeTeramo (TE),Accettabile,22,--,57,0.84,--,--,--,1.4,--,2022-12-13
S. GregorioS. GREGORIO (AQ),Buona,--,--,37,--,--,68,69,0.8,--,2022-12-13
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,89,89,n.d.,404.0,2022-12-13
Scuola AntonelliChieti Scalo (CH),Accettabile,21,18,40,--,1,55,41,0.9,--,2022-12-13
T. D'AnnunzioPescara (PE),Accettabile,17,12,49,0.59,0,50,44,1.1,--,2022-12-13
Via AmiternumL'Aquila (AQ),Accettabile,13,9,62,--,3,73,66,0.6,--,2022-12-13
Via FirenzePescara (PE),Accettabile,20,14,51,0.82,--,--,--,1.2,--,2022-12-13
Via SaccoPescara (PE),Accettabile,22,--,57,--,--,55,43,--,--,2022-12-13
ArischiaL'Aquila (AQ),Buona,--,--,3,--,--,49,40,0.3,--,2022-12-12
AtessaAtessa (CH),Buona,12,--,--,0.36,--,--,--,0.8,--,2022-12-12
Castel Di SangroCastel Di Sangro (AQ),Buona,10,4,14,0.20,--,80,74,--,--,2022-12-12
Cepagatti ASLCepagatti (PE),Buona,--,--,9,--,--,72,64,0.3,--,2022-12-12
FrancavillaFrancavilla al mare (CH),Buona,13,8,21,--,--,52,43,0.5,--,2022-12-12
GammaranaTeramo (TE),Accettabile,--,14,34,--,--,--,--,--,--,2022-12-12
MontesilvanoMontesilvano (PE),Buona,15,9,30,0.64,--,--,--,0.8,--,2022-12-12
Ortona Villa CaldariOrtona (CH),Buona,12,9,14,n.d.,--,77,65,0.7,--,2022-12-12
Porta RealeTeramo (TE),Accettabile,18,--,42,0.76,--,--,--,1.2,--,2022-12-12
S. GregorioS. GREGORIO (AQ),Buona,--,--,5,--,--,72,69,0.3,--,2022-12-12
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,91,90,n.d.,393.1,2022-12-12
Scuola AntonelliChieti Scalo (CH),Accettabile,16,12,39,--,1,67,57,0.5,--,2022-12-12
T. D'AnnunzioPescara (PE),Buona,14,7,28,0.34,0,53,43,0.6,--,2022-12-12
Via AmiternumL'Aquila (AQ),Buona,9,7,18,--,3,76,70,0.3,--,2022-12-12
Via FirenzePescara (PE),Buona,15,8,37,0.62,--,--,--,0.6,--,2022-12-12
Via SaccoPescara (PE),Buona,14,--,29,--,--,54,45,--,--,2022-12-12
ArischiaL'Aquila (AQ),Buona,--,--,5,--,--,38,34,0.2,--,2022-12-11
AtessaAtessa (CH),Buona,19,--,--,0.26,--,--,--,0.7,--,2022-12-11
Castel Di SangroCastel Di Sangro (AQ),Mediocre,47,13,28,0.16,--,71,55,--,--,2022-12-11
Cepagatti ASLCepagatti (PE),Buona,--,--,14,--,--,62,61,0.4,--,2022-12-11
FrancavillaFrancavilla al mare (CH),Buona,15,5,23,--,--,63,59,0.4,--,2022-12-11
GammaranaTeramo (TE),Accettabile,--,14,23,--,--,--,--,--,--,2022-12-11
MontesilvanoMontesilvano (PE),Buona,17,6,21,0.61,--,--,--,0.6,--,2022-12-11
Ortona Villa CaldariOrtona (CH),Buona,16,9,18,n.d.,--,57,57,0.8,--,2022-12-11
Porta RealeTeramo (TE),Buona,18,--,36,0.78,--,--,--,1.1,--,2022-12-11
S. GregorioS. GREGORIO (AQ),Buona,--,--,22,--,--,44,54,0.6,--,2022-12-11
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Buona,--,--,3,--,--,80,77,n.d.,389.0,2022-12-11
Scuola AntonelliChieti Scalo (CH),Buona,17,10,31,--,0,62,65,0.6,--,2022-12-11
T. D'AnnunzioPescara (PE),Buona,14,4,25,0.29,0,64,66,0.4,--,2022-12-11
Via AmiternumL'Aquila (AQ),Accettabile,13,6,42,--,9,65,62,0.4,--,2022-12-11
Via FirenzePescara (PE),Buona,16,5,13,0.64,--,--,--,0.5,--,2022-12-11
Via SaccoPescara (PE),Buona,18,--,22,--,--,63,62,--,--,2022-12-11
ArischiaL'Aquila (AQ),Buona,--,--,3,--,--,50,39,0.2,--,2022-12-10
AtessaAtessa (CH),Buona,20,--,--,0.51,--,--,--,0.9,--,2022-12-10
Castel Di SangroCastel Di Sangro (AQ),Buona,19,7,11,0.43,--,73,68,--,--,2022-12-10
Cepagatti ASLCepagatti (PE),Buona,--,--,7,--,--,75,72,0.1,--,2022-12-10
FrancavillaFrancavilla al mare (CH),Accettabile,19,12,28,--,--,64,57,0.5,--,2022-12-10
GammaranaTeramo (TE),Accettabile,--,13,46,--,--,--,--,--,--,2022-12-10
MontesilvanoMontesilvano (PE),Accettabile,25,17,23,1.08,--,--,--,0.7,--,2022-12-10
Ortona Villa CaldariOrtona (CH),Accettabile,22,14,28,n.d.,--,70,60,0.8,--,2022-12-10
Porta RealeTeramo (TE),Accettabile,25,--,64,0.97,--,--,--,0.9,--,2022-12-10
S. GregorioS. GREGORIO (AQ),Buona,--,--,22,--,--,63,61,0.6,--,2022-12-10
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,96,95,n.d.,388.7,2022-12-10
Scuola AntonelliChieti Scalo (CH),Accettabile,21,15,36,--,1,74,69,0.5,--,2022-12-10
T. D'AnnunzioPescara (PE),Accettabile,21,12,36,0.98,0,72,66,0.6,--,2022-12-10
Via AmiternumL'Aquila (AQ),Accettabile,16,6,54,--,8,68,65,0.5,--,2022-12-10
Via FirenzePescara (PE),Accettabile,24,13,63,1.26,--,--,--,0.7,--,2022-12-10
Via SaccoPescara (PE),Accettabile,20,--,45,--,--,67,62,--,--,2022-12-10
ArischiaL'Aquila (AQ),Buona,--,--,12,--,--,49,40,0.4,--,2022-12-09
AtessaAtessa (CH),Mediocre,41,--,--,0.50,--,--,--,1.4,--,2022-12-09
Castel Di SangroCastel Di Sangro (AQ),Accettabile,20,16,36,0.58,--,52,47,--,--,2022-12-09
Cepagatti ASLCepagatti (PE),Buona,--,--,14,--,--,45,35,0.8,--,2022-12-09
FrancavillaFrancavilla al mare (CH),Scadente,40,28,22,--,--,43,31,1.0,--,2022-12-09
GammaranaTeramo (TE),Scadente,--,30,32,--,--,--,--,--,--,2022-12-09
MontesilvanoMontesilvano (PE),Scadente,45,32,29,0.99,--,--,--,1.6,--,2022-12-09
Ortona Villa CaldariOrtona (CH),Mediocre,33,23,31,n.d.,--,60,51,1.2,--,2022-12-09
Porta RealeTeramo (TE),Mediocre,47,--,52,1.00,--,--,--,1.6,--,2022-12-09
S. GregorioS. GREGORIO (AQ),Buona,--,--,24,--,--,70,64,1.2,--,2022-12-09
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,93,89,0.0,391.4,2022-12-09
Scuola AntonelliChieti Scalo (CH),Scadente,43,34,36,--,1,52,36,1.2,--,2022-12-09
T. D'AnnunzioPescara (PE),Scadente,39,27,39,0.80,0,43,31,1.4,--,2022-12-09
Via AmiternumL'Aquila (AQ),Accettabile,16,10,45,--,4,75,72,0.7,--,2022-12-09
Via FirenzePescara (PE),Scadente,45,31,38,1.17,--,--,--,1.2,--,2022-12-09
Via SaccoPescara (PE),Mediocre,43,--,37,--,--,42,32,--,--,2022-12-09
ArischiaL'Aquila (AQ),Buona,--,--,9,--,--,40,29,0.3,--,2022-12-08
AtessaAtessa (CH),Accettabile,33,--,--,0.40,--,--,--,0.9,--,2022-12-08
Castel Di SangroCastel Di Sangro (AQ),Accettabile,25,16,35,0.51,--,66,52,--,--,2022-12-08
Cepagatti ASLCepagatti (PE),Buona,--,--,26,--,--,50,36,0.6,--,2022-12-08
FrancavillaFrancavilla al mare (CH),Mediocre,31,21,33,--,--,40,27,0.7,--,2022-12-08
GammaranaTeramo (TE),Mediocre,--,21,31,--,--,--,--,--,--,2022-12-08
MontesilvanoMontesilvano (PE),Accettabile,30,19,29,1.16,--,--,--,1.1,--,2022-12-08
Ortona Villa CaldariOrtona (CH),Accettabile,30,18,24,0.72,--,59,55,0.9,--,2022-12-08
Porta RealeTeramo (TE),Accettabile,n.d.,--,52,0.75,--,--,--,1.3,--,2022-12-08
S. GregorioS. GREGORIO (AQ),Buona,--,--,39,--,--,54,33,1.7,--,2022-12-08
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,90,71,0.0,401.4,2022-12-08
Scuola AntonelliChieti Scalo (CH),Scadente,35,26,37,--,0,43,34,0.9,--,2022-12-08
T. D'AnnunzioPescara (PE),Accettabile,29,19,42,1.02,0,36,24,1.1,--,2022-12-08
Via AmiternumL'Aquila (AQ),Accettabile,31,18,64,--,6,51,32,1.2,--,2022-12-08
Via FirenzePescara (PE),Mediocre,33,23,29,1.29,--,--,--,1.0,--,2022-12-08
Via SaccoPescara (PE),Accettabile,33,--,34,--,--,31,23,--,--,2022-12-08
ArischiaL'Aquila (AQ),Buona,--,--,7,--,--,53,33,0.3,--,2022-12-07
AtessaAtessa (CH),Accettabile,23,--,--,0.43,--,--,--,0.9,--,2022-12-07
Castel Di SangroCastel Di Sangro (AQ),Accettabile,27,15,35,0.45,--,69,55,--,--,2022-12-07
Cepagatti ASLCepagatti (PE),Accettabile,--,--,26,--,--,81,80,0.5,--,2022-12-07
FrancavillaFrancavilla al mare (CH),Accettabile,21,12,43,--,--,69,32,0.6,--,2022-12-07
GammaranaTeramo (TE),Accettabile,--,14,53,--,--,--,--,--,--,2022-12-07
MontesilvanoMontesilvano (PE),Mediocre,38,20,39,1.09,--,--,--,1.6,--,2022-12-07
Ortona Villa CaldariOrtona (CH),Accettabile,21,12,37,0.67,--,80,76,0.9,--,2022-12-07
Porta RealeTeramo (TE),Accettabile,n.d.,--,82,0.79,--,--,--,1.2,--,2022-12-07
S. GregorioS. GREGORIO (AQ),Accettabile,--,--,41,--,--,38,22,1.9,--,2022-12-07
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,98,96,0.0,399.8,2022-12-07
Scuola AntonelliChieti Scalo (CH),Accettabile,25,14,60,--,0,78,76,0.8,--,2022-12-07
T. D'AnnunzioPescara (PE),Accettabile,28,16,52,0.84,0,38,27,1.4,--,2022-12-07
Via AmiternumL'Aquila (AQ),Accettabile,n.d.,n.d.,71,--,n.d.,32,29,1.5,--,2022-12-07
Via FirenzePescara (PE),Accettabile,35,20,55,1.29,--,--,--,1.4,--,2022-12-07
Via SaccoPescara (PE),Mediocre,38,--,49,--,--,33,24,--,--,2022-12-07
ArischiaL'Aquila (AQ),Buona,--,--,3,--,--,45,40,0.3,--,2022-12-06
AtessaAtessa (CH),Accettabile,28,--,--,0.38,--,--,--,0.8,--,2022-12-06
Castel Di SangroCastel Di Sangro (AQ),Accettabile,21,10,33,n.d.,--,76,63,--,--,2022-12-06
Cepagatti ASLCepagatti (PE),Accettabile,--,--,4,--,--,85,78,0.1,--,2022-12-06
FrancavillaFrancavilla al mare (CH),Accettabile,24,13,44,--,--,68,56,0.7,--,2022-12-06
GammaranaTeramo (TE),Accettabile,--,14,58,--,--,--,--,--,--,2022-12-06
MontesilvanoMontesilvano (PE),Accettabile,29,16,50,0.83,--,--,--,1.2,--,2022-12-06
Ortona Villa CaldariOrtona (CH),Accettabile,20,12,19,0.61,--,84,77,0.8,--,2022-12-06
Porta RealeTeramo (TE),Accettabile,n.d.,--,84,0.90,--,--,--,1.3,--,2022-12-06
S. GregorioS. GREGORIO (AQ),Accettabile,--,--,43,--,--,61,38,1.5,--,2022-12-06
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,99,96,0.0,390.8,2022-12-06
Scuola AntonelliChieti Scalo (CH),Accettabile,17,8,46,--,0,81,75,0.3,--,2022-12-06
T. D'AnnunzioPescara (PE),Accettabile,30,17,66,0.72,0,69,55,1.3,--,2022-12-06
Via AmiternumL'Aquila (AQ),Accettabile,27,15,66,--,n.d.,72,51,1.0,--,2022-12-06
Via FirenzePescara (PE),Mediocre,39,22,71,1.23,--,--,--,1.6,--,2022-12-06
Via SaccoPescara (PE),Accettabile,n.d.,--,72,--,--,57,42,--,--,2022-12-06
ArischiaL'Aquila (AQ),Buona,--,--,13,--,--,42,35,0.3,--,2022-12-05
AtessaAtessa (CH),Buona,17,--,--,0.61,--,--,--,0.8,--,2022-12-05
Castel Di SangroCastel Di Sangro (AQ),Buona,11,5,26,n.d.,--,69,62,--,--,2022-12-05
Cepagatti ASLCepagatti (PE),Buona,--,--,6,--,--,78,77,0.1,--,2022-12-05
FrancavillaFrancavilla al mare (CH),Accettabile,24,15,27,--,--,60,46,0.7,--,2022-12-05
GammaranaTeramo (TE),Mediocre,--,24,42,--,--,--,--,--,--,2022-12-05
MontesilvanoMontesilvano (PE),Accettabile,30,19,41,1.11,--,--,--,1.4,--,2022-12-05
Ortona Villa CaldariOrtona (CH),Accettabile,17,12,18,0.84,--,81,75,1.0,--,2022-12-05
Porta RealeTeramo (TE),Accettabile,32,--,60,0.99,--,--,--,1.5,--,2022-12-05
S. GregorioS. GREGORIO (AQ),Buona,--,--,26,--,--,62,46,0.8,--,2022-12-05
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,104,95,0.0,386.4,2022-12-05
Scuola AntonelliChieti Scalo (CH),Accettabile,18,12,60,--,1,75,71,0.6,--,2022-12-05
T. D'AnnunzioPescara (PE),Accettabile,31,18,51,0.95,0,61,44,1.1,--,2022-12-05
Via AmiternumL'Aquila (AQ),Accettabile,17,11,56,--,n.d.,76,66,0.7,--,2022-12-05
Via FirenzePescara (PE),Accettabile,34,20,54,1.30,--,--,--,1.1,--,2022-12-05
Via SaccoPescara (PE),Accettabile,n.d.,--,56,--,--,60,51,--,--,2022-12-05
ArischiaL'Aquila (AQ),Buona,--,--,22,--,--,28,26,0.9,--,2022-12-04
AtessaAtessa (CH),Accettabile,31,--,--,0.61,--,--,--,1.6,--,2022-12-04
Castel Di SangroCastel Di Sangro (AQ),Accettabile,19,17,34,n.d.,--,49,29,--,--,2022-12-04
Cepagatti ASLCepagatti (PE),Buona,--,--,17,--,--,39,26,0.9,--,2022-12-04
FrancavillaFrancavilla al mare (CH),Scadente,30,27,26,--,--,33,21,1.2,--,2022-12-04
GammaranaTeramo (TE),Mediocre,--,21,27,--,--,--,--,--,--,2022-12-04
MontesilvanoMontesilvano (PE),Scadente,35,30,38,1.16,--,--,--,2.2,--,2022-12-04
Ortona Villa CaldariOrtona (CH),Mediocre,26,23,27,0.83,--,48,41,1.6,--,2022-12-04
Porta RealeTeramo (TE),Mediocre,38,--,47,1.01,--,--,--,1.9,--,2022-12-04
S. GregorioS. GREGORIO (AQ),Buona,--,--,31,--,--,23,14,2.4,--,2022-12-04
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,84,75,0.0,402.5,2022-12-04
Scuola AntonelliChieti Scalo (CH),Scadente,36,35,46,--,1,24,19,1.7,--,2022-12-04
T. D'AnnunzioPescara (PE),Scadente,38,32,42,0.88,0,33,14,2.2,--,2022-12-04
Via AmiternumL'Aquila (AQ),Accettabile,22,20,44,--,n.d.,52,35,1.4,--,2022-12-04
Via FirenzePescara (PE),Scadente,43,35,52,1.26,--,--,--,1.9,--,2022-12-04
Via SaccoPescara (PE),Accettabile,n.d.,--,45,--,--,28,17,--,--,2022-12-04
ArischiaL'Aquila (AQ),Buona,--,--,29,--,--,33,25,0.9,--,2022-12-03
AtessaAtessa (CH),Accettabile,33,--,--,0.58,--,--,--,1.6,--,2022-12-03
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-12-03
Cepagatti ASLCepagatti (PE),Buona,--,--,32,--,--,39,26,1.1,--,2022-12-03
FrancavillaFrancavilla al mare (CH),Accettabile,23,18,34,--,--,37,24,1.3,--,2022-12-03
GammaranaTeramo (TE),Mediocre,--,23,36,--,--,--,--,--,--,2022-12-03
