Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Via Sacco Pescara (PE),Accettabile,25,--,23,--,--,111,105,--,--,2024-06-11
Arischia L'Aquila (AQ),Accettabile,--,--,9,--,--,107,100,0.3,--,2024-06-10
Atessa Atessa (CH),Buona,17,--,--,0.13,--,--,--,0.2,--,2024-06-10
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,18,11,12,0.25,--,114,108,--,--,2024-06-10
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,108,105,0.2,--,2024-06-10
Francavilla Francavilla al mare (CH),Accettabile,20,11,23,--,--,113,102,0.2,--,2024-06-10
Gammarana Teramo (TE),Accettabile,--,12,23,--,--,--,--,--,--,2024-06-10
Montesilvano Montesilvano (PE),Accettabile,22,13,22,0.19,--,--,--,0.2,--,2024-06-10
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,14,0.12,--,115,108,0.1,--,2024-06-10
Porta Reale Teramo (TE),Buona,16,--,36,0.34,--,--,--,0.3,--,2024-06-10
S. Gregorio S. GREGORIO (AQ),Mediocre,--,--,8,--,--,124,116,0.1,--,2024-06-10
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,113,100,0.0,n.d.,2024-06-10
Scuola Antonelli Chieti Scalo (CH),Accettabile,25,13,22,--,1,108,97,0.2,--,2024-06-10
T. D'Annunzio Pescara (PE),Accettabile,26,12,30,0.43,0,90,80,0.2,--,2024-06-10
Via Amiternum L'Aquila (AQ),Accettabile,22,12,18,--,1,114,109,0.1,--,2024-06-10
Via Firenze Pescara (PE),Accettabile,23,13,58,0.53,--,--,--,0.3,--,2024-06-10
Via Sacco Pescara (PE),Accettabile,22,--,36,--,--,114,93,--,--,2024-06-10
Arischia L'Aquila (AQ),Accettabile,--,--,6,--,--,107,103,0.1,--,2024-06-09
Atessa Atessa (CH),Buona,12,--,--,0.15,--,--,--,0.2,--,2024-06-09
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,14,9,16,0.27,--,114,106,--,--,2024-06-09
Cepagatti ASL Cepagatti (PE),Mediocre,--,--,12,--,--,132,122,0.1,--,2024-06-09
Francavilla Francavilla al mare (CH),Accettabile,17,9,14,--,--,118,114,0.2,--,2024-06-09
Gammarana Teramo (TE),Buona,--,10,17,--,--,--,--,--,--,2024-06-09
Montesilvano Montesilvano (PE),Accettabile,17,11,24,0.22,--,--,--,0.2,--,2024-06-09
Ortona Villa Caldari Ortona (CH),Mediocre,n.d.,n.d.,18,0.11,--,125,118,0.0,--,2024-06-09
Porta Reale Teramo (TE),Buona,16,--,36,0.31,--,--,--,0.3,--,2024-06-09
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,7,--,--,119,115,0.1,--,2024-06-09
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Mediocre,--,--,2,--,--,132,113,0.0,n.d.,2024-06-09
Scuola Antonelli Chieti Scalo (CH),Mediocre,21,14,27,--,4,132,124,0.1,--,2024-06-09
T. D'Annunzio Pescara (PE),Accettabile,21,10,28,0.40,0,95,90,0.2,--,2024-06-09
Via Amiternum L'Aquila (AQ),Mediocre,15,9,14,--,1,123,112,0.1,--,2024-06-09
Via Firenze Pescara (PE),Accettabile,18,11,52,0.49,--,--,--,0.3,--,2024-06-09
Via Sacco Pescara (PE),Mediocre,16,--,43,--,--,128,122,--,--,2024-06-09
Arischia L'Aquila (AQ),Accettabile,--,--,5,--,--,106,100,0.1,--,2024-06-08
Atessa Atessa (CH),Buona,16,--,--,0.12,--,--,--,0.2,--,2024-06-08
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,13,8,22,0.28,--,116,108,--,--,2024-06-08
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,10,--,--,117,114,0.1,--,2024-06-08
Francavilla Francavilla al mare (CH),Accettabile,15,9,21,--,--,118,114,0.1,--,2024-06-08
Gammarana Teramo (TE),Buona,--,10,20,--,--,--,--,--,--,2024-06-08
Montesilvano Montesilvano (PE),Buona,15,9,28,0.20,--,--,--,0.2,--,2024-06-08
Ortona Villa Caldari Ortona (CH),Mediocre,n.d.,n.d.,15,0.11,--,121,116,0.0,--,2024-06-08
Porta Reale Teramo (TE),Accettabile,14,--,50,0.30,--,--,--,0.2,--,2024-06-08
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,9,--,--,119,109,0.0,--,2024-06-08
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Mediocre,--,--,2,--,--,132,118,0.0,n.d.,2024-06-08
Scuola Antonelli Chieti Scalo (CH),Mediocre,21,13,37,--,5,121,117,0.1,--,2024-06-08
T. D'Annunzio Pescara (PE),Accettabile,17,8,35,0.33,0,99,94,0.1,--,2024-06-08
Via Amiternum L'Aquila (AQ),Accettabile,13,8,19,--,1,117,106,0.1,--,2024-06-08
Via Firenze Pescara (PE),Accettabile,16,9,49,0.46,--,--,--,0.4,--,2024-06-08
Via Sacco Pescara (PE),Mediocre,15,--,38,--,--,122,118,--,--,2024-06-08
Arischia L'Aquila (AQ),Accettabile,--,--,17,--,--,107,104,0.2,--,2024-06-07
Atessa Atessa (CH),Buona,14,--,--,0.11,--,--,--,0.2,--,2024-06-07
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,10,6,19,0.29,--,115,106,--,--,2024-06-07
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,11,--,--,113,111,0.1,--,2024-06-07
Francavilla Francavilla al mare (CH),Accettabile,13,7,23,--,--,115,111,0.1,--,2024-06-07
Gammarana Teramo (TE),Buona,--,6,14,--,--,--,--,--,--,2024-06-07
Montesilvano Montesilvano (PE),Buona,13,7,32,0.17,--,--,--,0.2,--,2024-06-07
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,23,0.13,--,113,111,0.1,--,2024-06-07
Porta Reale Teramo (TE),Buona,15,--,40,0.30,--,--,--,0.3,--,2024-06-07
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,7,--,--,113,111,0.1,--,2024-06-07
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Mediocre,--,--,1,--,--,121,114,0.0,n.d.,2024-06-07
Scuola Antonelli Chieti Scalo (CH),Accettabile,16,10,28,--,2,115,113,0.1,--,2024-06-07
T. D'Annunzio Pescara (PE),Accettabile,7,3,26,0.31,0,101,94,0.0,--,2024-06-07
Via Amiternum L'Aquila (AQ),Accettabile,11,8,24,--,1,112,109,0.1,--,2024-06-07
Via Firenze Pescara (PE),Accettabile,14,8,45,0.40,--,--,--,0.3,--,2024-06-07
Via Sacco Pescara (PE),Mediocre,12,--,33,--,--,121,117,--,--,2024-06-07
Arischia L'Aquila (AQ),Accettabile,--,--,7,--,--,108,99,0.3,--,2024-06-06
Atessa Atessa (CH),Buona,9,--,--,0.10,--,--,--,0.2,--,2024-06-06
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,9,5,22,0.24,--,96,92,--,--,2024-06-06
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,10,--,--,111,109,0.1,--,2024-06-06
Francavilla Francavilla al mare (CH),Accettabile,10,6,20,--,--,114,109,0.1,--,2024-06-06
Gammarana Teramo (TE),Buona,--,7,20,--,--,--,--,--,--,2024-06-06
Montesilvano Montesilvano (PE),Buona,12,6,24,0.15,--,--,--,0.2,--,2024-06-06
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,14,0.15,--,115,109,0.0,--,2024-06-06
Porta Reale Teramo (TE),Buona,12,--,32,0.28,--,--,--,0.3,--,2024-06-06
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,11,--,--,118,110,0.0,--,2024-06-06
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,119,110,0.0,n.d.,2024-06-06
Scuola Antonelli Chieti Scalo (CH),Accettabile,15,9,24,--,1,113,111,0.1,--,2024-06-06
T. D'Annunzio Pescara (PE),Accettabile,11,6,23,0.27,0,99,95,0.0,--,2024-06-06
Via Amiternum L'Aquila (AQ),Accettabile,n.d.,n.d.,22,--,1,116,107,0.1,--,2024-06-06
Via Firenze Pescara (PE),Accettabile,12,6,42,0.39,--,--,--,0.3,--,2024-06-06
Via Sacco Pescara (PE),Accettabile,13,--,36,--,--,117,114,--,--,2024-06-06
Arischia L'Aquila (AQ),Accettabile,--,--,9,--,--,103,95,0.4,--,2024-06-05
Atessa Atessa (CH),Buona,9,--,--,0.09,--,--,--,0.2,--,2024-06-05
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,8,5,20,0.20,--,105,102,--,--,2024-06-05
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,9,--,--,108,103,0.1,--,2024-06-05
Francavilla Francavilla al mare (CH),Accettabile,9,5,15,--,--,119,110,0.1,--,2024-06-05
Gammarana Teramo (TE),Buona,--,5,18,--,--,--,--,--,--,2024-06-05
Montesilvano Montesilvano (PE),Buona,12,6,14,0.14,--,--,--,0.1,--,2024-06-05
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,8,n.d.,--,116,110,0.0,--,2024-06-05
Porta Reale Teramo (TE),Buona,16,--,26,0.28,--,--,--,0.2,--,2024-06-05
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,6,--,--,119,107,0.1,--,2024-06-05
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,106,103,0.0,n.d.,2024-06-05
Scuola Antonelli Chieti Scalo (CH),Accettabile,15,8,24,--,1,111,107,0.1,--,2024-06-05
T. D'Annunzio Pescara (PE),Buona,12,5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,--,2024-06-05
Via Amiternum L'Aquila (AQ),Accettabile,8,5,18,--,1,111,100,0.1,--,2024-06-05
Via Firenze Pescara (PE),Buona,12,6,34,0.37,--,--,--,0.3,--,2024-06-05
Via Sacco Pescara (PE),Mediocre,10,--,31,--,--,127,117,--,--,2024-06-05
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,100,95,0.5,--,2024-06-04
Atessa Atessa (CH),Buona,10,--,--,0.08,--,--,--,0.2,--,2024-06-04
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,7,4,23,0.22,--,113,100,--,--,2024-06-04
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,9,--,--,112,104,0.1,--,2024-06-04
Francavilla Francavilla al mare (CH),Accettabile,11,6,12,--,--,117,111,0.1,--,2024-06-04
Gammarana Teramo (TE),Buona,--,4,12,--,--,--,--,--,--,2024-06-04
Montesilvano Montesilvano (PE),Buona,11,5,24,0.20,--,--,--,0.2,--,2024-06-04
Ortona Villa Caldari Ortona (CH),Accettabile,9,5,11,n.d.,--,116,106,0.0,--,2024-06-04
Porta Reale Teramo (TE),Buona,19,--,37,0.26,--,--,--,0.2,--,2024-06-04
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,11,--,--,106,102,0.0,--,2024-06-04
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,110,99,0.0,n.d.,2024-06-04
Scuola Antonelli Chieti Scalo (CH),Accettabile,17,11,16,--,1,114,107,0.1,--,2024-06-04
T. D'Annunzio Pescara (PE),Accettabile,9,8,18,0.29,1,101,93,0.0,--,2024-06-04
Via Amiternum L'Aquila (AQ),Buona,7,4,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-04
Via Firenze Pescara (PE),Buona,10,6,31,0.34,--,--,--,0.3,--,2024-06-04
Via Sacco Pescara (PE),Mediocre,10,--,27,--,--,123,117,--,--,2024-06-04
Arischia L'Aquila (AQ),Buona,--,--,7,--,--,74,76,0.3,--,2024-06-03
Atessa Atessa (CH),Buona,7,--,--,0.07,--,--,--,0.3,--,2024-06-03
Castel Di Sangro Castel Di Sangro (AQ),Buona,8,4,22,0.21,--,74,65,--,--,2024-06-03
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,92,83,0.1,--,2024-06-03
Francavilla Francavilla al mare (CH),Accettabile,10,6,11,--,--,95,77,0.1,--,2024-06-03
Gammarana Teramo (TE),Buona,--,3,14,--,--,--,--,--,--,2024-06-03
Montesilvano Montesilvano (PE),Buona,11,5,25,0.19,--,--,--,0.2,--,2024-06-03
Ortona Villa Caldari Ortona (CH),Accettabile,9,5,7,n.d.,--,98,91,0.1,--,2024-06-03
Porta Reale Teramo (TE),Buona,13,--,27,0.22,--,--,--,0.2,--,2024-06-03
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,7,--,--,85,105,0.1,--,2024-06-03
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,87,88,0.0,n.d.,2024-06-03
Scuola Antonelli Chieti Scalo (CH),Accettabile,11,7,13,--,1,95,76,0.1,--,2024-06-03
T. D'Annunzio Pescara (PE),Accettabile,10,5,16,0.29,1,84,69,0.0,--,2024-06-03
Via Amiternum L'Aquila (AQ),Buona,10,5,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-03
Via Firenze Pescara (PE),Buona,11,5,21,0.32,--,--,--,0.2,--,2024-06-03
Via Sacco Pescara (PE),Accettabile,11,--,31,--,--,102,86,--,--,2024-06-03
Arischia L'Aquila (AQ),Accettabile,--,--,2,--,--,104,100,0.2,--,2024-06-02
Atessa Atessa (CH),Buona,10,--,--,0.06,--,--,--,0.2,--,2024-06-02
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,10,4,24,0.17,--,97,92,--,--,2024-06-02
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,6,--,--,112,108,0.0,--,2024-06-02
Francavilla Francavilla al mare (CH),Accettabile,14,5,12,--,--,105,104,0.1,--,2024-06-02
Gammarana Teramo (TE),Buona,--,3,11,--,--,--,--,--,--,2024-06-02
Montesilvano Montesilvano (PE),Buona,16,8,23,0.18,--,--,--,0.2,--,2024-06-02
Ortona Villa Caldari Ortona (CH),Accettabile,12,6,9,n.d.,--,110,104,0.1,--,2024-06-02
Porta Reale Teramo (TE),Buona,9,--,29,0.22,--,--,--,0.3,--,2024-06-02
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,10,--,--,114,111,0.2,--,2024-06-02
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,109,106,0.0,406.8,2024-06-02
Scuola Antonelli Chieti Scalo (CH),Accettabile,13,5,22,--,2,112,107,0.1,--,2024-06-02
T. D'Annunzio Pescara (PE),Accettabile,28,5,13,0.25,1,100,98,0.0,--,2024-06-02
Via Amiternum L'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-02
Via Firenze Pescara (PE),Buona,14,6,24,0.31,--,--,--,0.2,--,2024-06-02
Via Sacco Pescara (PE),Accettabile,17,--,18,--,--,119,114,--,--,2024-06-02
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,102,93,0.2,--,2024-06-01
Atessa Atessa (CH),Buona,8,--,--,0.09,--,--,--,0.2,--,2024-06-01
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,6,3,11,0.19,--,101,93,--,--,2024-06-01
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,3,--,--,105,103,0.0,--,2024-06-01
Francavilla Francavilla al mare (CH),Accettabile,21,14,9,--,--,104,101,0.1,--,2024-06-01
Gammarana Teramo (TE),Buona,--,4,5,--,--,--,--,--,--,2024-06-01
